OGDB;PlatformMap_OGDB
3DO;Panasonic 3DO
Amstrad CPC - 3''-Diskette;PC
Amstrad CPC - Cassette;PC
Apple II - 5.25''-Diskette;Apple Mac OS
Apple IIgs;Apple Mac OS
Apple Macintosh - 3.5'' Diskette;Apple Mac OS
Apple Macintosh - CD-ROM;Apple Mac OS
Apple iOS;iOS
Arcade;Arcade
Arcade - Capcom - Andere;Arcade
Arcade - Capcom CPS;Arcade
Arcade - Capcom CPS 2;Arcade
Arcade - Data East ARM6;Arcade
Arcade - Irem M52;Arcade
Arcade - Kaneko Super Nova;Arcade
Arcade - Konami - Andere;Arcade
Arcade - Namco System 11;Arcade
Arcade - Namco System 246;Arcade
Arcade - Namco System 256;Arcade
Arcade - SEGA Titan ST-V;Arcade
Arcade - SEGA Triforce;Arcade
Arcade - SNK NeoGeo MVS;Arcade
Arcade - Taito Type X/X+;Arcade
Atari 400;Atari 400
Atari 5200;Atari 5200
Atari 7800;Atari 7800
Atari 800 - Cartridge;Atari 800
Atari 800 - Diskette;Atari 800
Atari Jaguar;Atari Jaguar
Atari Lynx;Atari Lynx
Atari ST;Atari ST
Atari VCS/2600 - Cartridge;Atari 2600
Bandai Playdia;Bandai Playdia
Bandai WonderSwan;Bandai WonderSwan
Bandai WonderSwan Color;Bandai WonderSwan
CBS Colecovision;Arcade
Commodore Amiga;Commodore Amiga
Commodore Amiga AGA;Commodore Amiga
Commodore Amiga PPC;Commodore Amiga
Commodore C64 - CD-ROM;Commodore C64
Commodore C64 - Cartridge;Commodore C64
Commodore C64 - Cassette;Commodore C64
Commodore C64 - Diskette;Commodore C64
Commodore C64 - Diskette + Cassette;Commodore C64
Epoch Super Cassettevision;Epoch Super Cassettevision
Fujitsu FM-7/FM-77 - 3.5;Fujitsu FM
Fujitsu FM-7/FM-77 - 5.25;Fujitsu FM
Fujitsu FM-77AV;Fujitsu FM
Fujitsu FM-Towns/Marty - CD;Fujitsu FM
Fujitsu FM-Towns/Marty - CD + Diskette;Fujitsu FM
Fujitsu FM-Towns/Marty - Diskette;Fujitsu FM
GamePark 32;GamePark 32
Google Android;Android
Internet / BBS / Browser;Online
LCD Handheld;LCD Handheld
MSX - Cartridge;MSX
MSX - Cassette;MSX
MSX-2 - Cartridge;MSX-2
MSX-2 - Diskette;MSX-2
Mattel Intellivision;Mattel Intellivision
Microsoft Xbox;Microsoft Xbox
Microsoft Xbox 360;Microsoft Xbox 360
Microsoft Xbox 360 - Download;Microsoft Xbox 360
Microsoft Xbox One;Microsoft Xbox One
Microsoft Xbox One - Download;Microsoft Xbox One
Mobile - J2ME;Mobile
NEC PC Engine Arcade CD-ROM²;NEC PC Engine
NEC PC Engine Super CD-ROM²;NEC PC Engine
NEC PC Engine Super Grafx;NEC PC Engine
NEC PC Engine/TurboGrafx - CD-ROM²;NEC PC Engine
NEC PC Engine/TurboGrafx16;NEC PC Engine
