diggr vocabular	GAMECIP URI	Wikidata Item
n.a.		
Adventure Vision		Q379965
Amazon 		
Amiga CD32		Q695161
Amiga Computer 		Q100047
Android		Q94
APF MP1000/Imagination Machine		Q2038236
Arcade		Q192851
Arcadia 2001		Q1196518
Atari 2600	http://www.gamemetadata.org/platform/1140	Q206261
Atari 400		Q3306898
Atari 5200		Q743222
Atari 7800		Q753600
Atari 800		Q4889765
Atari 8-bit		Q249075
Atari Jaguar		Q650601
Atari Lynx		Q753657
Atari ST		Q627302
Atom		
Attel Aquarius		
bada		Q242157
Bally Astrocade		Q805385
Bandai Playdia		Q1198088
Bandai WonderSwan		Q1065792
Bandai WonderSwan Color		Q1065792
BBC Micro		Q749976
BeOS		Q62563
BlackBerry		Q171819
Blu-ray Game		
BREW		
Camputers Lynx		Q3108233
Casio Loopy		Q661952
Casio PV-1000		Q60407
CDTV		Q955368
Channel F		Q1053294
Coleco Adam		Q1108054
ColecoVision		Q1046862
Colour Genie		Q1111889
Commodore 128		Q1115919
Commodore 16		Q1115913
Commodore 64		Q1115883
Commodore Amiga		Q100047
Commodore C64		Q1115883
Commodore PET/CBM		Q946661
Compact Disc Interactive		Q1023103
Compucolor II		Q5157215
Coverdisk 		
CreatiVision		Q2502670
Dedicated console		Q5249798
Dedicated handheld		Q1797918
digiBLAST 		Q3027757
DoJa		Q576341
Dragon 32/65		Q57741692
DVD Game		
Electron		
Enterprise		
Epoch Super Cassettevision		Q8018077
Exelvision		
ExEn		
Exidy Sorcerer		Q2175706
FM Towns		Q531896
FM-8		Q1982420
Fujitsu FM		Q531896
Game Archives		
Game Wave		Q3094980
GamePark 32		Q426119
GameStick		Q13422025
GFA-Handheld 		
Gizmondo		Q909005
GP2X		Q907531
GP2X Wiz		Q930260
GP32		Q426119
HyperScan		Q3144093
iOS		Q48493
iPad		Q2796
iPhone		Q2766
iPod		Q9479
iPod Touch 		Q14094
J2ME		Q193828
Jupiter Ace		Q1713750
Kindle Classic		Q30029905
LaserActive		Q3276319
LCD Handheld		Q941818
Leapster		Q6509976
Lerncomputer 		Q1751493
Linux		Q388
LS 2000		
Apple Mac OS	http://www.gamemetadata.org/platform/1116	Q43627
Maemo		Q239749
Mattel HyperScan		
Mattel Intellivision		Q1061441
MeeGo		Q241874
Memotech MTX		Q746047
Microbee		Q724174
Microsoft Xbox	http://www.gamemetadata.org/platform/1119	Q132020
Microsoft Xbox 360	http://www.gamemetadata.org/platform/1120	Q48263
Microsoft Xbox One	http://www.gamemetadata.org/platform/1017	Q13361286
Microvision		Q1475303
Mobile		
Mophun		
MSX		Q853547
MSX-2		Q16082704
Nascom		Q178930
NEC PC Engine		Q1057377
NEC PC		
Neo Geo Pocket Color 		Q1977455
New Nintendo 3DS 		Q17679679
NewBrain		
Newton		Q420772
Nintendo 3DS	http://www.gamemetadata.org/platform/1126	Q203597
Nintendo 64	http://www.gamemetadata.org/platform/1122	Q184839
Nintendo Classic Mini: Nintendo Entertainment System		Q26706777
Nintendo DS	http://www.gamemetadata.org/platform/1029	Q170323
Nintendo DSi	http://www.gamemetadata.org/platform/1123	Q637178
Nintendo Entertainment System	http://www.gamemetadata.org/platform/1127	Q172742
Nintendo Famicom	http://www.gamemetadata.org/platform/1036	Q491640
Nintendo Game & Watch		Q215034
Nintendo Game Boy	http://www.gamemetadata.org/platform/1037	Q186437
Nintendo Game Boy Advance	http://www.gamemetadata.org/platform/1038	Q188642
Nintendo Game Boy Color	http://www.gamemetadata.org/platform/1039	Q203992
Nintendo GameCube	http://www.gamemetadata.org/platform/1128	Q182172
Nintendo Switch		Q19610114
Nintendo Virtual Boy		Q164651
Nintendo Wii	http://www.gamemetadata.org/platform/1129	Q8079
Nintendo Wii U	http://www.gamemetadata.org/platform/1130	Q56942
No Platform 		
Nokia mobile phone 		
Nokia N-Gage 		Q336434
NUON		Q3111078
Odyssey		Q744987
Odyssey 2		
Ohio Scientific		Q60486815
Online		
Oric		Q17042679
Ouya		Q1391641
Palm Pilot 		Q7127960
Panasonic 3DO 		
PC		Q16338
PDA		Q162768
Pelican VG Pocket		Q2416874
Philips CD-I		Q1023103
Philips G7000		Q576932
Philips VG5000		Q3381050
Pippin		Q621312
Playdia		Q1198088
PlayStation Certified Device 		
Plug and Play 		
Pocket Arcade 		
Pocket PC 		Q29758
Pokemon Mini		Q1759168
RCA Studio II		Q1143954
Roku		
SAM Coupé		Q1188778
Sega Dreamcast	http://www.gamemetadata.org/platform/1053	Q184198
Sega Game Gear	http://www.gamemetadata.org/platform/1054	Q751719
Sega Mark III		Q1192432
Sega Master System		Q209868
Sega Mega Drive	http://www.gamemetadata.org/platform/1058	Q10676
Sega Mega Drive 32X	http://www.gamemetadata.org/platform/1059	Q1063978
Sega Pico		Q1374482
Sega Pocket Arcade 		
Sega Saturn	http://www.gamemetadata.org/platform/1135	Q200912
Sega SG-1000		Q1136956
SG-1001		
Sharp X1		Q2710884
Sharp X68000		Q1758277
Sifteo Cubes 		Q7511854
Sinclair QL		Q602253
Sinclair ZX Spectrum		Q23882
SNK Neo Geo		Q1054350
SNK Neo Geo CD		Q1054350
SNK Neo Geo Pocket		Q939881
Sol-20		Q3964167
Sony PlayStation	http://www.gamemetadata.org/platform/1136	Q10677
Sony PlayStation 2	http://www.gamemetadata.org/platform/1138	Q10680
Sony PlayStation 3	http://www.gamemetadata.org/platform/1070	Q10683
Sony PlayStation 4	http://www.gamemetadata.org/platform/1071	Q5014725
Sony Playstation Mobile 		Q1140931
Sony PlayStation Network 		Q719629
Sony PlayStation Now		Q15614041
Sony PlayStation Portable	http://www.gamemetadata.org/platform/1072	Q170325
Sony PlayStation Vita	http://www.gamemetadata.org/platform/1073	Q188808
Sord M5		Q506908
Spectravideo		
Steam OS 		Q337535
Super A'can		Q2475188
Super Famicom		Q183259
Super Nintendo Entertainment System	http://www.gamemetadata.org/platform/1139	Q183259
Supervision		Q732683
Symbian		Q483318
TADS		Q4050562
Tapwave Zodiac		Q523532
Tatung Einstein		Q1759524
Terminal		
Texas Instruments		Q55704069
Thomson MO		Q64152883
Thomson TO		Q55315688
TI-99/4A		Q454390
Time DPG-450		
Time DPG-520		
Timex Sinclair 2069		
Tizen		Q609306
Tomy Tutor		Q7820426
Trailer 		
TRS-80 CoCo		Q1411846
TRS-80 MC-10		Q168425
TRS-80		Q610305
TV		
tvOS		Q20965967
V. Smile 		Q1055215
Vectrex		Q767631
VIC-20		Q918232
VideoBrain		Q7927777
Videopac+ G7401		
VIS		Q7682528
Microsoft Windows Vista	http://www.gamemetadata.org/platform/1083	Q11230
watchOS		Q18012472
Windows Mobile 		Q21207
Windows Phone 		Q4885200
Windows Phone 7		Q56354453
XD Theater 		
Zeebo		Q184372
Z-machine		
Zodiac		Q523532
Zune		Q229851
ZX Spectrum		Q23882
ZX80		Q602406
ZX81		Q263250
TIGER Game.com		
		
