"PEGI","PlatformMap_PEGI","USK","PlatformMap_USK","ESRB","PlatformMap_ESRB","OGDB","PlatformMap_OGDB","MOBYGAMES","PlatformMap_MOBYGAMES","MEDIAARTS","PlatformMap_MEDIAARTS","GAMEFAQS","PlatformMap_GAMEFAQS"
"Digiblast ","Other","Amiga CD32 ","Amiga CD32","3DO ","Panasonic 3DO ","3DO","Panasonic 3DO ","3DO","Panasonic 3DO ","3DO REAL","Panasonic 3DO ","3do","Panasonic 3DO "
"DVD Game ","Other","Amiga Computer ","PC","Amazon ","Other","Amstrad CPC - 3''-Diskette","PC","Acorn 32-bit","PC","DSiウェア","Nintendo DS","3ds","Nintendo 3DS "
"Game Boy Advance ","Nintendo Game Boy Advance","Android ","Mobile","Android ","Mobile","Amstrad CPC - Cassette","PC","Alice 32/90","PC","NINTENDO64","Nintendo 64","dreamcast","Sega Dreamcast"
"GameCube ","Nintendo GameCube","Atari 2600 ","Atari 2600","Atari Jaguar ","Atari Jaguar ","Apple II - 5.25''-Diskette","MAC OS","Amiga","Commodore Amiga","PC-FX","NEC PC Engine","gameboy","Nintendo Game Boy"
"Gizmondo ","Gizmondo ","Atari Jaguar ","Atari Jaguar ","Atari Lynx ","Atari Lynx ","Apple IIgs","MAC OS","Amiga CD32","Commodore Amiga","PCエンジン","NEC PC Engine","gamecube","Nintendo GameCube"
"Macintosh ","MAC OS","Blu-ray-Player ","Other","Cable Box ","TV","Apple Macintosh - 3.5'' Diskette","MAC OS","Amstrad CPC","PC","Wii","Nintendo Wii","gamegear","Sega Game Gear"
"Mobile ","Mobile ","Coverdisk ","Other","CDI ","Compact Disc Interactive","Apple Macintosh - CD-ROM","MAC OS","Amstrad PCW","PC","Wii U","Nintendo Wii U","gbc","Nintendo Game Boy"
"New Nintendo 3DS ","Nintendo 3DS ","DVD-Player ","Other","Connected TV's ","TV","Apple iOS","Mobile","Android","Mobile","Xbox","Microsoft Xbox","genesis","Sega Mega Drive"
"Nintendo ","?","GFA-Handheld ","Other","Digital TV ","TV","Arcade","Arcade","Apple II","MAC OS","Xbox 360","Microsoft Xbox 360","jaguar","Atari Jaguar"
"Nintendo 3DS ","Nintendo 3DS ","Gizmondo ","Gizmondo ","Dreamcast ","Sega Dreamcast","Arcade - Capcom - Andere","Arcade","Apple IIgs","MAC OS","Xbox One","Microsoft Xbox One","n64","Nintendo 64"
"Nintendo DS ","Nintendo DS ","GP 32 ","Other","DS ","?","Arcade - Capcom CPS","Arcade","Arcade","Arcade","ゲームアーカイブス","Game Archives","neo","SNK Neo Geo"
"Nintendo DSi - DSiWare ","Nintendo DS","iOS ","Mobile","DVD ","Other","Arcade - Capcom CPS 2","Arcade","Arcadia 2001","Other","ゲームギア","Sega Game Gear","nes","Nintendo Entertainment System"
"Nintendo Switch ","Nintendo Switch ","Lerncomputer ","Other","Game Boy ","Nintendo Game Boy","Arcade - Data East ARM6","Arcade","Atari 2600","Atari 2600","ゲームボーイ","Nintendo Game Boy","ps","Sony PlayStation"
"Nintendo Wii ","Nintendo Wii ","LS 2000 ","Other","Game Boy Advance ","Nintendo Game Boy Advance ","Arcade - Irem M52","Arcade","Atari 5200","Atari 5200","ゲームボーイアドバンス","Nintendo Game Boy Advance","ps2","Sony PlayStation 2"
"Nintendo Wii - Virtual Console ","Nintendo Wii","Macintosh-PC ","MAC OS","Game Boy Color ","Nintendo Game Boy Color","Arcade - Kaneko Super Nova","Arcade","Atari 7800","Atari 7800","スーパーファミコン","Super Nintendo Entertainment System","ps3","Sony PlayStation 3"
"Nintendo Wii - WiiWare ","Nintendo Wii","MEGA CD II ","Sega Mega Drive","Game Gear ","Sega Game Gear","Arcade - Konami - Andere","Arcade","Atari 8-bit","Atari 8-bit","セガサターン","Sega Saturn","ps4","Sony PlayStation 4"
"Nintendo Wii U ","Nintendo Wii U ","Microsoft XBOX ","Microsoft Xbox","GameCube ","Nintendo GameCube","Arcade - Namco System 11","Arcade","Atari ST","Atari ST","ドリームキャスト","Sega Dreamcast","psp","Sony PlayStation Portable"
"Nokia mobile phone ","Mobile","Microsoft XBOX 360 ","Microsoft Xbox 360","Genesis ","Sega Mega Drive","Arcade - Namco System 246","Arcade","Atom","Other","ニンテンドー3DS","Nintendo 3DS ","saturn","Sega Saturn"
"PC ","PC ","Microsoft XBOX ONE ","Microsoft Xbox One","Gizmondo ","Gizmondo ","Arcade - Namco System 256","Arcade","BBC Micro","Other","ニンテンドーDS","Nintendo DS","sega32x","Sega Mega Drive"
"Playstation 1 ","Sony PlayStation","Mobile Game ","Mobile","Hyperscan ","Mattel HyperScan","Arcade - SEGA Titan ST-V","Arcade","BREW","Other","ニンテンドーゲームキューブ","Nintendo GameCube","segacd","Sega Mega Drive"
"Playstation 2 ","Sony PlayStation 2","New Nintendo 3DS ","Nintendo 3DS ","iOS ","Mobile","Arcade - SEGA Triforce","Arcade","Bally Astrocade","Other","ネオジオ","SNK Neo Geo","sms","Sega Master System"
"Playstation 3 ","Sony PlayStation 3 ","Nintendo 3DS ","Nintendo 3DS ","iPAD ","Mobile","Arcade - SNK NeoGeo MVS","Arcade","BeOS","Other","ネオジオCD","SNK Neo Geo CD","snes","Super Nintendo Entertainment System"
"Playstation 3 HOME ","Sony PlayStation 3 ","Nintendo 64 ","Nintendo 64","iPad ","Mobile","Arcade - Taito Type X/X+","Arcade","BlackBerry","Mobile","ネオジオポケット","SNK Neo Geo Pocket","tg16","NEC PC Engine"
"PlayStation 4 ","Sony PlayStation 4","Nintendo DS ","Nintendo DS ","iPod ","Mobile","Atari 400","Atari 400","Blu-ray Disc Player","Other","ファミリーコンピュータ","Nintendo Entertainment System","virtualboy","Nintendo Virtual Boy"
